REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,value
Cuba,PWRCRUD002,HFO01,2,2025,3.3
Cuba,PWRCRUD002,HFO01,2,2026,3.3
Cuba,PWRCRUD002,HFO01,2,2027,3.3
Cuba,PWRCRUD002,HFO01,2,2028,3.3
Cuba,PWRCRUD002,HFO01,2,2029,3.3
Cuba,PWRCRUD002,HFO01,2,2030,3.3
Cuba,PWRCRUD002,HFO01,2,2031,3.3
Cuba,PWRCRUD002,HFO01,2,2032,3.3
Cuba,PWRCRUD002,HFO01,2,2033,3.3
Cuba,PWRCRUD002,HFO01,2,2034,3.3
Cuba,PWRCRUD002,HFO01,2,2035,3.3
Cuba,PWRCRUD002,HFO01,2,2036,3.3
Cuba,PWRCRUD002,HFO01,2,2037,3.3
Cuba,PWRCRUD002,HFO01,2,2038,3.3
Cuba,PWRCRUD002,HFO01,2,2039,3.3
Cuba,PWRCRUD002,HFO01,2,2040,3.3
Cuba,PWRCRUD002,HFO01,2,2041,3.3
Cuba,PWRCRUD002,HFO01,2,2042,3.3
Cuba,PWRCRUD002,HFO01,2,2043,3.3
Cuba,PWRCRUD002,HFO01,2,2044,3.3
Cuba,PWRCRUD002,HFO01,2,2045,3.3
Cuba,PWRCRUD002,HFO01,2,2046,3.3
Cuba,PWRCRUD002,HFO01,2,2047,3.3
Cuba,PWRCRUD002,HFO01,2,2048,3.3
Cuba,PWRCRUD002,HFO01,2,2049,3.3
Cuba,PWRCRUD002,HFO01,2,2050,3.3
Cuba,PWRCRUD002,HFO01,2,2051,3.3
Cuba,PWRCRUD002,HFO01,2,2052,3.3
Cuba,PWRCRUD002,HFO01,2,2053,3.3
Cuba,PWRCRUD002,HFO01,2,2054,3.3
Cuba,PWRCRUD002,HFO01,2,2055,3.3
Cuba,PWRCRUD003,CRUD,1,2019,3.3
Cuba,PWRCRUD003,CRUD,1,2020,3.3
Cuba,PWRCRUD003,CRUD,1,2021,3.3
Cuba,PWRCRUD003,CRUD,1,2022,3.3
Cuba,PWRCRUD003,CRUD,1,2023,3.3
Cuba,PWRCRUD003,CRUD,1,2024,3.3
Cuba,PWRCRUD003,CRUD,1,2025,3.3
Cuba,PWRCRUD003,CRUD,1,2026,3.3
Cuba,PWRCRUD003,CRUD,1,2027,3.3
Cuba,PWRCRUD003,CRUD,1,2028,3.3
Cuba,PWRCRUD003,CRUD,1,2029,3.3
Cuba,PWRCRUD003,CRUD,1,2030,3.3
Cuba,PWRCRUD003,CRUD,1,2031,3.3
Cuba,PWRCRUD003,CRUD,1,2032,3.3
Cuba,PWRCRUD003,CRUD,1,2033,3.3
Cuba,PWRCRUD003,CRUD,1,2034,3.3
Cuba,PWRCRUD003,CRUD,1,2035,3.3
Cuba,PWRCRUD003,CRUD,1,2036,3.3
Cuba,PWRCRUD003,CRUD,1,2037,3.3
Cuba,PWRCRUD003,CRUD,1,2038,3.3
Cuba,PWRCRUD003,CRUD,1,2039,3.3
Cuba,PWRCRUD003,CRUD,1,2040,3.3
Cuba,PWRCRUD003,CRUD,1,2041,3.3
Cuba,PWRCRUD003,CRUD,1,2042,3.3
Cuba,PWRCRUD003,CRUD,1,2043,3.3
Cuba,PWRCRUD003,CRUD,1,2044,3.3
Cuba,PWRCRUD003,CRUD,1,2045,3.3
Cuba,PWRCRUD003,CRUD,1,2046,3.3
Cuba,PWRCRUD003,CRUD,1,2047,3.3
Cuba,PWRCRUD003,CRUD,1,2048,3.3
Cuba,PWRCRUD003,CRUD,1,2049,3.3
Cuba,PWRCRUD003,CRUD,1,2050,3.3
Cuba,PWRCRUD003,CRUD,1,2051,3.3
Cuba,PWRCRUD003,CRUD,1,2052,3.3
Cuba,PWRCRUD003,CRUD,1,2053,3.3
Cuba,PWRCRUD003,CRUD,1,2054,3.3
Cuba,PWRCRUD003,CRUD,1,2055,3.3
Cuba,PWRCRUD003,HFO01,2,2019,3.3
Cuba,PWRCRUD003,HFO01,2,2020,3.3
Cuba,PWRCRUD003,HFO01,2,2021,3.3
Cuba,PWRCRUD003,HFO01,2,2022,3.3
Cuba,PWRCRUD003,HFO01,2,2023,3.3
Cuba,PWRCRUD003,HFO01,2,2024,3.3
Cuba,PWRCRUD003,HFO01,2,2025,3.3
Cuba,PWRCRUD003,HFO01,2,2026,3.3
Cuba,PWRCRUD003,HFO01,2,2027,3.3
Cuba,PWRCRUD003,HFO01,2,2028,3.3
Cuba,PWRCRUD003,HFO01,2,2029,3.3
Cuba,PWRCRUD003,HFO01,2,2030,3.3
Cuba,PWRCRUD003,HFO01,2,2031,3.3
Cuba,PWRCRUD003,HFO01,2,2032,3.3
Cuba,PWRCRUD003,HFO01,2,2033,3.3
Cuba,PWRCRUD003,HFO01,2,2034,3.3
Cuba,PWRCRUD003,HFO01,2,2035,3.3
Cuba,PWRCRUD003,HFO01,2,2036,3.3
Cuba,PWRCRUD003,HFO01,2,2037,3.3
Cuba,PWRCRUD003,HFO01,2,2038,3.3
Cuba,PWRCRUD003,HFO01,2,2039,3.3
Cuba,PWRCRUD003,HFO01,2,2040,3.3
Cuba,PWRCRUD003,HFO01,2,2041,3.3
Cuba,PWRCRUD003,HFO01,2,2042,3.3
Cuba,PWRCRUD003,HFO01,2,2043,3.3
Cuba,PWRCRUD003,HFO01,2,2044,3.3
Cuba,PWRCRUD003,HFO01,2,2045,3.3
Cuba,PWRCRUD003,HFO01,2,2046,3.3
Cuba,PWRCRUD003,HFO01,2,2047,3.3
Cuba,PWRCRUD003,HFO01,2,2048,3.3
Cuba,PWRCRUD003,HFO01,2,2049,3.3
Cuba,PWRCRUD003,HFO01,2,2050,3.3
Cuba,PWRCRUD003,HFO01,2,2051,3.3
Cuba,PWRCRUD003,HFO01,2,2052,3.3
Cuba,PWRCRUD003,HFO01,2,2053,3.3
Cuba,PWRCRUD003,HFO01,2,2054,3.3
Cuba,PWRCRUD003,HFO01,2,2055,3.3
Cuba,PWRCRUD004,CRUD,1,2019,3.3
Cuba,PWRCRUD004,CRUD,1,2020,3.3
Cuba,PWRCRUD004,CRUD,1,2021,3.3
Cuba,PWRCRUD004,CRUD,1,2022,3.3
Cuba,PWRCRUD004,CRUD,1,2023,3.3
Cuba,PWRCRUD004,CRUD,1,2024,3.3
Cuba,PWRCRUD004,CRUD,1,2025,3.3
Cuba,PWRCRUD004,CRUD,1,2026,3.3
Cuba,PWRCRUD004,CRUD,1,2027,3.3
Cuba,PWRCRUD004,CRUD,1,2028,3.3
Cuba,PWRCRUD004,CRUD,1,2029,3.3
Cuba,PWRCRUD004,CRUD,1,2030,3.3
Cuba,PWRCRUD004,CRUD,1,2031,3.3
Cuba,PWRCRUD004,CRUD,1,2032,3.3
Cuba,PWRCRUD004,CRUD,1,2033,3.3
Cuba,PWRCRUD004,CRUD,1,2034,3.3
Cuba,PWRCRUD004,CRUD,1,2035,3.3
Cuba,PWRCRUD004,CRUD,1,2036,3.3
Cuba,PWRCRUD004,CRUD,1,2037,3.3
Cuba,PWRCRUD004,CRUD,1,2038,3.3
Cuba,PWRCRUD004,CRUD,1,2039,3.3
Cuba,PWRCRUD004,CRUD,1,2040,3.3
Cuba,PWRCRUD004,CRUD,1,2041,3.3
Cuba,PWRCRUD004,CRUD,1,2042,3.3
Cuba,PWRCRUD004,CRUD,1,2043,3.3
Cuba,PWRCRUD004,CRUD,1,2044,3.3
Cuba,PWRCRUD004,CRUD,1,2045,3.3
Cuba,PWRCRUD004,CRUD,1,2046,3.3
Cuba,PWRCRUD004,CRUD,1,2047,3.3
Cuba,PWRCRUD004,CRUD,1,2048,3.3
Cuba,PWRCRUD004,CRUD,1,2049,3.3
Cuba,PWRCRUD004,CRUD,1,2050,3.3
Cuba,PWRCRUD004,CRUD,1,2051,3.3
Cuba,PWRCRUD004,CRUD,1,2052,3.3
Cuba,PWRCRUD004,CRUD,1,2053,3.3
Cuba,PWRCRUD004,CRUD,1,2054,3.3
Cuba,PWRCRUD004,CRUD,1,2055,3.3
Cuba,PWRCRUD004,HFO01,2,2019,3.3
Cuba,PWRCRUD004,HFO01,2,2020,3.3
Cuba,PWRCRUD004,HFO01,2,2021,3.3
Cuba,PWRCRUD004,HFO01,2,2022,3.3
Cuba,PWRCRUD004,HFO01,2,2023,3.3
Cuba,PWRCRUD004,HFO01,2,2024,3.3
Cuba,PWRCRUD004,HFO01,2,2025,3.3
Cuba,PWRCRUD004,HFO01,2,2026,3.3
Cuba,PWRCRUD004,HFO01,2,2027,3.3
Cuba,PWRCRUD004,HFO01,2,2028,3.3
Cuba,PWRCRUD004,HFO01,2,2029,3.3
Cuba,PWRCRUD004,HFO01,2,2030,3.3
Cuba,PWRCRUD004,HFO01,2,2031,3.3
Cuba,PWRCRUD004,HFO01,2,2032,3.3
Cuba,PWRCRUD004,HFO01,2,2033,3.3
Cuba,PWRCRUD004,HFO01,2,2034,3.3
Cuba,PWRCRUD004,HFO01,2,2035,3.3
Cuba,PWRCRUD004,HFO01,2,2036,3.3
Cuba,PWRCRUD004,HFO01,2,2037,3.3
Cuba,PWRCRUD004,HFO01,2,2038,3.3
Cuba,PWRCRUD004,HFO01,2,2039,3.3
Cuba,PWRCRUD004,HFO01,2,2040,3.3
Cuba,PWRCRUD004,HFO01,2,2041,3.3
Cuba,PWRCRUD004,HFO01,2,2042,3.3
Cuba,PWRCRUD004,HFO01,2,2043,3.3
Cuba,PWRCRUD004,HFO01,2,2044,3.3
Cuba,PWRCRUD004,HFO01,2,2045,3.3
Cuba,PWRCRUD004,HFO01,2,2046,3.3
Cuba,PWRCRUD004,HFO01,2,2047,3.3
Cuba,PWRCRUD004,HFO01,2,2048,3.3
Cuba,PWRCRUD004,HFO01,2,2049,3.3
Cuba,PWRCRUD004,HFO01,2,2050,3.3
Cuba,PWRCRUD004,HFO01,2,2051,3.3
Cuba,PWRCRUD004,HFO01,2,2052,3.3
Cuba,PWRCRUD004,HFO01,2,2053,3.3
Cuba,PWRCRUD004,HFO01,2,2054,3.3
Cuba,PWRCRUD004,HFO01,2,2055,3.3
Cuba,PWRCRUD008,CRUD,1,2019,3.3
Cuba,PWRCRUD008,CRUD,1,2020,3.3
Cuba,PWRCRUD008,CRUD,1,2021,3.3
Cuba,PWRCRUD008,CRUD,1,2022,3.3
Cuba,PWRCRUD008,CRUD,1,2023,3.3
Cuba,PWRCRUD008,CRUD,1,2024,3.3
Cuba,PWRCRUD008,CRUD,1,2025,3.3
Cuba,PWRCRUD008,CRUD,1,2026,3.3
Cuba,PWRCRUD008,CRUD,1,2027,3.3
Cuba,PWRCRUD008,CRUD,1,2028,3.3
Cuba,PWRCRUD008,CRUD,1,2029,3.3
Cuba,PWRCRUD008,CRUD,1,2030,3.3
Cuba,PWRCRUD008,CRUD,1,2031,3.3
Cuba,PWRCRUD008,CRUD,1,2032,3.3
Cuba,PWRCRUD008,CRUD,1,2033,3.3
Cuba,PWRCRUD008,CRUD,1,2034,3.3
Cuba,PWRCRUD008,CRUD,1,2035,3.3
Cuba,PWRCRUD008,CRUD,1,2036,3.3
Cuba,PWRCRUD008,CRUD,1,2037,3.3
Cuba,PWRCRUD008,CRUD,1,2038,3.3
Cuba,PWRCRUD008,CRUD,1,2039,3.3
Cuba,PWRCRUD008,CRUD,1,2040,3.3
Cuba,PWRCRUD008,CRUD,1,2041,3.3
Cuba,PWRCRUD008,CRUD,1,2042,3.3
Cuba,PWRCRUD008,CRUD,1,2043,3.3
Cuba,PWRCRUD008,CRUD,1,2044,3.3
Cuba,PWRCRUD008,CRUD,1,2045,3.3
Cuba,PWRCRUD008,CRUD,1,2046,3.3
Cuba,PWRCRUD008,CRUD,1,2047,3.3
Cuba,PWRCRUD008,CRUD,1,2048,3.3
Cuba,PWRCRUD008,CRUD,1,2049,3.3
Cuba,PWRCRUD008,CRUD,1,2050,3.3
Cuba,PWRCRUD008,CRUD,1,2051,3.3
Cuba,PWRCRUD008,CRUD,1,2052,3.3
Cuba,PWRCRUD008,CRUD,1,2053,3.3
Cuba,PWRCRUD008,CRUD,1,2054,3.3
Cuba,PWRCRUD008,CRUD,1,2055,3.3
Cuba,PWRCRUD005,CRUD,1,2019,3.3
Cuba,PWRCRUD005,CRUD,1,2020,3.3
Cuba,PWRCRUD005,CRUD,1,2021,3.3
Cuba,PWRCRUD005,CRUD,1,2022,3.3
Cuba,PWRCRUD005,CRUD,1,2023,3.3
Cuba,PWRCRUD005,CRUD,1,2024,3.3
Cuba,PWRCRUD005,CRUD,1,2025,3.3
Cuba,PWRCRUD005,CRUD,1,2026,3.3
Cuba,PWRCRUD005,CRUD,1,2027,3.3
Cuba,PWRCRUD005,CRUD,1,2028,3.3
Cuba,PWRCRUD005,CRUD,1,2029,3.3
Cuba,PWRCRUD005,CRUD,1,2030,3.3
Cuba,PWRCRUD005,CRUD,1,2031,3.3
Cuba,PWRCRUD005,CRUD,1,2032,3.3
Cuba,PWRCRUD005,CRUD,1,2033,3.3
Cuba,PWRCRUD005,CRUD,1,2034,3.3
Cuba,PWRCRUD005,CRUD,1,2035,3.3
Cuba,PWRCRUD005,CRUD,1,2036,3.3
Cuba,PWRCRUD005,CRUD,1,2037,3.3
Cuba,PWRCRUD005,CRUD,1,2038,3.3
Cuba,PWRCRUD005,CRUD,1,2039,3.3
Cuba,PWRCRUD005,CRUD,1,2040,3.3
Cuba,PWRCRUD005,CRUD,1,2041,3.3
Cuba,PWRCRUD005,CRUD,1,2042,3.3
Cuba,PWRCRUD005,CRUD,1,2043,3.3
Cuba,PWRCRUD005,CRUD,1,2044,3.3
Cuba,PWRCRUD005,CRUD,1,2045,3.3
Cuba,PWRCRUD005,CRUD,1,2046,3.3
Cuba,PWRCRUD005,CRUD,1,2047,3.3
Cuba,PWRCRUD005,CRUD,1,2048,3.3
Cuba,PWRCRUD005,CRUD,1,2049,3.3
Cuba,PWRCRUD005,CRUD,1,2050,3.3
Cuba,PWRCRUD005,CRUD,1,2051,3.3
Cuba,PWRCRUD005,CRUD,1,2052,3.3
Cuba,PWRCRUD005,CRUD,1,2053,3.3
Cuba,PWRCRUD005,CRUD,1,2054,3.3
Cuba,PWRCRUD005,CRUD,1,2055,3.3
Cuba,PWRCRUD005,HFO01,2,2019,3.3
Cuba,PWRCRUD005,HFO01,2,2020,3.3
Cuba,PWRCRUD005,HFO01,2,2021,3.3
Cuba,PWRCRUD005,HFO01,2,2022,3.3
Cuba,PWRCRUD005,HFO01,2,2023,3.3
Cuba,PWRCRUD005,HFO01,2,2024,3.3
Cuba,PWRCRUD005,HFO01,2,2025,3.3
Cuba,PWRCRUD005,HFO01,2,2026,3.3
Cuba,PWRCRUD005,HFO01,2,2027,3.3
Cuba,PWRCRUD005,HFO01,2,2028,3.3
Cuba,PWRCRUD005,HFO01,2,2029,3.3
Cuba,PWRCRUD005,HFO01,2,2030,3.3
Cuba,PWRCRUD005,HFO01,2,2031,3.3
Cuba,PWRCRUD005,HFO01,2,2032,3.3
Cuba,PWRCRUD005,HFO01,2,2033,3.3
Cuba,PWRCRUD005,HFO01,2,2034,3.3
Cuba,PWRCRUD005,HFO01,2,2035,3.3
Cuba,PWRCRUD005,HFO01,2,2036,3.3
Cuba,PWRCRUD005,HFO01,2,2037,3.3
Cuba,PWRCRUD005,HFO01,2,2038,3.3
Cuba,PWRCRUD005,HFO01,2,2039,3.3
Cuba,PWRCRUD005,HFO01,2,2040,3.3
Cuba,PWRCRUD005,HFO01,2,2041,3.3
Cuba,PWRCRUD005,HFO01,2,2042,3.3
Cuba,PWRCRUD005,HFO01,2,2043,3.3
Cuba,PWRCRUD005,HFO01,2,2044,3.3
Cuba,PWRCRUD005,HFO01,2,2045,3.3
Cuba,PWRCRUD005,HFO01,2,2046,3.3
Cuba,PWRCRUD005,HFO01,2,2047,3.3
Cuba,PWRCRUD005,HFO01,2,2048,3.3
Cuba,PWRCRUD005,HFO01,2,2049,3.3
Cuba,PWRCRUD005,HFO01,2,2050,3.3
Cuba,PWRCRUD005,HFO01,2,2051,3.3
Cuba,PWRCRUD005,HFO01,2,2052,3.3
Cuba,PWRCRUD005,HFO01,2,2053,3.3
Cuba,PWRCRUD005,HFO01,2,2054,3.3
Cuba,PWRCRUD005,HFO01,2,2055,3.3
Cuba,PWRCRUD006,CRUD,1,2019,3.3
Cuba,PWRCRUD006,CRUD,1,2020,3.3
Cuba,PWRCRUD006,CRUD,1,2021,3.3
Cuba,PWRCRUD006,CRUD,1,2022,3.3
Cuba,PWRCRUD006,CRUD,1,2023,3.3
Cuba,PWRCRUD006,CRUD,1,2024,3.3
Cuba,PWRCRUD006,CRUD,1,2025,3.3
Cuba,PWRCRUD006,CRUD,1,2026,3.3
Cuba,PWRCRUD006,CRUD,1,2027,3.3
Cuba,PWRCRUD006,CRUD,1,2028,3.3
Cuba,PWRCRUD006,CRUD,1,2029,3.3
Cuba,PWRCRUD006,CRUD,1,2030,3.3
Cuba,PWRCRUD006,CRUD,1,2031,3.3
Cuba,PWRCRUD006,CRUD,1,2032,3.3
Cuba,PWRCRUD006,CRUD,1,2033,3.3
Cuba,PWRCRUD006,CRUD,1,2034,3.3
Cuba,PWRCRUD006,CRUD,1,2035,3.3
Cuba,PWRCRUD006,CRUD,1,2036,3.3
Cuba,PWRCRUD006,CRUD,1,2037,3.3
Cuba,PWRCRUD006,CRUD,1,2038,3.3
Cuba,PWRCRUD006,CRUD,1,2039,3.3
Cuba,PWRCRUD006,CRUD,1,2040,3.3
Cuba,PWRCRUD006,CRUD,1,2041,3.3
Cuba,PWRCRUD006,CRUD,1,2042,3.3
Cuba,PWRCRUD006,CRUD,1,2043,3.3
Cuba,PWRCRUD006,CRUD,1,2044,3.3
Cuba,PWRCRUD006,CRUD,1,2045,3.3
Cuba,PWRCRUD006,CRUD,1,2046,3.3
Cuba,PWRCRUD006,CRUD,1,2047,3.3
Cuba,PWRCRUD006,CRUD,1,2048,3.3
Cuba,PWRCRUD006,CRUD,1,2049,3.3
Cuba,PWRCRUD006,CRUD,1,2050,3.3
Cuba,PWRCRUD006,CRUD,1,2051,3.3
Cuba,PWRCRUD006,CRUD,1,2052,3.3
Cuba,PWRCRUD006,CRUD,1,2053,3.3
Cuba,PWRCRUD006,CRUD,1,2054,3.3
Cuba,PWRCRUD006,CRUD,1,2055,3.3
Cuba,PWRCRUD006,HFO01,2,2019,3.3
Cuba,PWRCRUD006,HFO01,2,2020,3.3
Cuba,PWRCRUD006,HFO01,2,2021,3.3
Cuba,PWRCRUD006,HFO01,2,2022,3.3
Cuba,PWRCRUD006,HFO01,2,2023,3.3
Cuba,PWRCRUD006,HFO01,2,2024,3.3
Cuba,PWRCRUD006,HFO01,2,2025,3.3
Cuba,PWRCRUD006,HFO01,2,2026,3.3
Cuba,PWRCRUD006,HFO01,2,2027,3.3
Cuba,PWRCRUD006,HFO01,2,2028,3.3
Cuba,PWRCRUD006,HFO01,2,2029,3.3
Cuba,PWRCRUD006,HFO01,2,2030,3.3
Cuba,PWRCRUD006,HFO01,2,2031,3.3
Cuba,PWRCRUD006,HFO01,2,2032,3.3
Cuba,PWRCRUD006,HFO01,2,2033,3.3
Cuba,PWRCRUD006,HFO01,2,2034,3.3
Cuba,PWRCRUD006,HFO01,2,2035,3.3
Cuba,PWRCRUD006,HFO01,2,2036,3.3
Cuba,PWRCRUD006,HFO01,2,2037,3.3
Cuba,PWRCRUD006,HFO01,2,2038,3.3
Cuba,PWRCRUD006,HFO01,2,2039,3.3
Cuba,PWRCRUD006,HFO01,2,2040,3.3
Cuba,PWRCRUD006,HFO01,2,2041,3.3
Cuba,PWRCRUD006,HFO01,2,2042,3.3
Cuba,PWRCRUD006,HFO01,2,2043,3.3
Cuba,PWRCRUD006,HFO01,2,2044,3.3
Cuba,PWRCRUD006,HFO01,2,2045,3.3
Cuba,PWRCRUD006,HFO01,2,2046,3.3
Cuba,PWRCRUD006,HFO01,2,2047,3.3
Cuba,PWRCRUD006,HFO01,2,2048,3.3
Cuba,PWRCRUD006,HFO01,2,2049,3.3
Cuba,PWRCRUD006,HFO01,2,2050,3.3
Cuba,PWRCRUD006,HFO01,2,2051,3.3
Cuba,PWRCRUD006,HFO01,2,2052,3.3
Cuba,PWRCRUD006,HFO01,2,2053,3.3
Cuba,PWRCRUD006,HFO01,2,2054,3.3
Cuba,PWRCRUD006,HFO01,2,2055,3.3
Cuba,PWRCRUD007,CRUD,1,2019,3.3
Cuba,PWRCRUD007,CRUD,1,2020,3.3
Cuba,PWRCRUD007,CRUD,1,2021,3.3
Cuba,PWRCRUD007,CRUD,1,2022,3.3
Cuba,PWRCRUD007,CRUD,1,2023,3.3
Cuba,PWRCRUD007,CRUD,1,2024,3.3
Cuba,PWRCRUD007,CRUD,1,2025,3.3
Cuba,PWRCRUD007,CRUD,1,2026,3.3
Cuba,PWRCRUD007,CRUD,1,2027,3.3
Cuba,PWRCRUD007,CRUD,1,2028,3.3
Cuba,PWRCRUD007,CRUD,1,2029,3.3
Cuba,PWRCRUD007,CRUD,1,2030,3.3
Cuba,PWRCRUD007,CRUD,1,2031,3.3
Cuba,PWRCRUD007,CRUD,1,2032,3.3
Cuba,PWRCRUD007,CRUD,1,2033,3.3
Cuba,PWRCRUD007,CRUD,1,2034,3.3
